Accession,Description,Symbol,Peptides,PD_Detected_Peptides,Unique,100011 WT_EZR Normalized,100012 WT_EZR Normalized,100013 WT_EZR Normalized,100005 WT_CYT Normalized,100006 WT_CYT Normalized,100007 WT_CYT Normalized,100017_1 SPQC Normalized,100017_2 SPQC Normalized,100017_3 SPQC Normalized,WT_EZR_CV,WT_CYT_CV,SPQC_CV,WT_EZR_v_WT_CYT_FC,WT_EZR_v_WT_CYT_pval,Stats
Q8C080,Sorting nexin-16 OS,Snx16,1,1.1.1.-.-.-,1,59411.89253,31741.68807,66108.3549,1736.256032,4118.56042,1756.125176,2533.301055,2277.590552,1271.721936,34.8,54,32.9,20.66261,0.001362227,Up
Q6A039,TBC1 domain family member 12 OS,Tbc1d12,2,2.1.1.1.1.-,2,240275.5911,231573.3033,233554.7657,23695.65928,7114.861488,6482.156344,188646.0959,211779.4387,257857.4931,1.94,78.5,16.1,18.91534,0.01729122,Up
Q9Z351,Potassium voltage-gated channel subfamily KQT member 2 OS,Kcnq2,1,1.1.-.-.-.1,1,64299.00305,84399.64981,57349.97889,3821.854446,1708.121722,6124.715377,89010.27593,89004.80438,102976.8914,20.5,56.9,8.61,17.67946,0.01000682,Up
T1NXB5,V-set and transmembrane domain-containing protein 4 OS,Vstm4,2,2.2.2.1.1.1,2,86991.88712,135366.7794,217289.8245,6464.166254,13081.82203,14297.77087,33999.05094,70897.11158,60380.20081,44.9,37.4,34.5,12.99053,0.002212141,Up
Q8VCC8,Rap guanine nucleotide exchange factor 3 OS,Rapgef3,17,17.17.17.3.7.6,17,7092054.378,10188535.71,9805623.201,736402.6871,830548.2902,570203.4591,4292366.268,4283279.287,4042106.973,18.7,18.5,3.37,12.67396,9.23E-05,Up
Q61292,Laminin subunit beta-2 OS,Lamb2,1,1.1.-.-.-.-,1,63917.06319,36465.10838,48595.98717,6427.050317,5823.453931,1113.728287,42883.20824,35031.09431,40304.43433,27.7,65.3,10.2,11.14753,0.0352827,Up
Q9D787,RING-type E3 ubiquitin-protein ligase PPIL2 OS,Ppil2,1,1.-.1.-.-.-,1,13992.56281,12648.49582,8955.625562,1100.202879,1317.899007,1160.097488,2345.862363,1190.090007,7829.040988,22,9.43,93.6,9.948212,0.001166406,Up
Q62523,Zyxin OS,Zyx,4,3.4.3.3.4.3,4,902872.4786,1037678.556,579744.2861,99982.91906,93048.31918,125868.1168,702774.9022,689205.0569,666125.1087,28,16.3,2.7,7.903106,0.001910934,Up
O54931,A-kinase anchor protein 2 OS,Akap2,10,10.8.9.8.6.9,10,16055014.55,16497847.2,20133952.95,2169565.203,2251362.8,2321259.458,8289790.691,9513953.411,10711956.93,12.7,3.38,12.7,7.814499,0.000593537,Up
Q78PY7,Staphylococcal nuclease domain-containing protein 1 OS,Snd1,10,10.9.8.10.10.10,10,16459958.67,15729010.6,19185317.39,2588560.165,1817952.704,2236358.943,1463695.572,1471973.704,1874123.971,10.6,17.4,14.6,7.733747,0.000272046,Up
P20917,Myelin-associated glycoprotein OS,Mag,4,4.4.3.3.4.3,4,2160840.381,2824268.508,1472812.285,290674.9719,426031.2816,165440.5312,376537.4715,374715.4924,350594.6086,31.4,44.3,3.94,7.320688,0.00541148,Up
Q91ZT5,"FYVE, RhoGEF and PH domain-containing protein 4 OS",Fgd4,2,2.2.2.1.1.1,2,190955.4643,219945.6559,169493.4355,17722.88555,56848.42161,20412.84178,129455.031,163299.5055,129512.5374,13.1,69,13.9,6.110436,0.02950092,Up
P58196,Phospholipid scramblase 4 OS,Plscr4,4,4.4.4.3.2.2,4,1145794.985,2014003.135,1332612.468,195643.6256,275368.8894,279450.3761,900869.8355,788699.3413,966509.6647,30.5,18.9,10.2,5.986186,0.001637717,Up
Q91W43,"Glycine dehydrogenase (decarboxylating), mitochondrial OS",Gldc,1,1.1.-.-.-.-,1,26121.62108,25454.39719,21811.89131,6397.998159,2724.775372,3867.276437,37737.34455,36556.57608,23410.96661,9.48,43.4,24.4,5.649548,0.01495176,Up
Q9DBX2,Phosducin-like protein OS,Pdcl,9,8.8.9.9.9.9,9,6839155.563,7477701.996,9011339.614,1391027.748,1438755.697,1306767.332,4151282.986,3846765.735,4246382.048,14.4,4.85,5.11,5.639529,0.000841231,Up
O55047,Serine/threonine-protein kinase tousled-like 2 OS,Tlk2,1,1.1.1.1.1.1,1,458875.9919,452728.6555,353820.1241,85976.94668,55207.06757,88662.90551,286007.8162,288785.7937,253727.8453,14,24.3,7.06,5.505511,0.001897008,Up
Q08189,Protein-glutamine gamma-glutamyltransferase E OS,Tgm3,2,2.1.2.1.2.-,2,97374.93707,74186.03284,262087.0852,6345.127078,65406.66491,8035.644331,117688.4519,106426.7475,116037.6763,70.9,126,5.36,5.435042,0.08528115,
O54774,AP-3 complex subunit delta-1 OS,Ap3d1,23,19.20.23.22.21.22,23,66971582.76,70572500.99,91418266.32,14581029.52,13059821.91,14576169.97,25904750.34,26235340.99,24788377.87,17.3,6.23,2.96,5.423461,0.001149419,Up
Q62406,Interleukin-1 receptor-associated kinase 1 OS,Irak1,1,1.1.1.1.-.-,1,146824.5876,164669.3229,133171.1026,79757.66199,5383.533951,3333.922932,123335.3343,70846.00246,95111.50696,10.7,148,27.2,5.025876,0.1207102,
Q3TCH7,Cullin-4A OS,Cul4a,4,4.4.3.4.4.4,4,1930463.138,1528392.219,1414780.367,387785.6851,298991.8674,293147.7849,1165756.594,906500.4215,460849.6459,16.7,16.2,42.2,4.973477,0.000248716,Up
Q9CYL5,Golgi-associated plant pathogenesis-related protein 1 OS,Glipr2,1,1.1.1.1.1.-,1,16470.80553,30929.11616,8376.295978,2252.640071,5010.433957,4067.203913,5236.687001,9908.496016,7720.170224,61.5,37.1,30.7,4.922758,0.0358248,Up
Q9WUP4,Polyprenol reductase OS,Srd5a3,2,1.1.2.2.2.2,2,543929.5057,611721.8459,517139.1543,37682.16188,264083.9936,53692.9181,82922.36843,176252.2462,178646.1899,8.74,107,37.4,4.706,0.08366619,
P35569,Insulin receptor substrate 1 OS,Irs1,4,4.3.3.2.3.3,4,230022.8582,299547.1948,296315.4133,53307.11324,61595.27694,60788.32964,57631.42652,78925.71289,67961.74526,14.3,7.8,15.6,4.700792,0.000498908,Up
Q6PFX8,N-acetylaspartylglutamate synthase A OS,Rimkla,1,1.1.1.1.1.1,1,45557.68482,58679.93368,59412.98348,11136.22252,11159.94299,12933.94939,35249.04637,32161.23803,28835.3787,14.3,8.78,10,4.645191,0.000429401,Up
Q61070,Etoposide-induced protein 2.4 OS,Ei24,2,2.2.2.1.1.2,2,215366.1595,187202.6839,255580.5835,48487.69799,37772.15483,56289.85384,265051.3329,250272.0702,263342.625,15.7,19.6,3.11,4.616982,0.000651185,Up
Q99LI8,Hepatocyte growth factor-regulated tyrosine kinase substrate OS,Hgs,2,1.2.2.-.2.1,2,345415.3016,413077.4342,399786.937,101094.282,52162.43376,97658.50199,69894.2026,64915.07591,63116.86958,9.29,32.7,5.32,4.616219,0.01385924,Up
Q60714,Long-chain fatty acid transport protein 1 OS,Slc27a1,5,5.5.4.5.5.5,5,7206755.047,8940067.261,7295072.972,1730946.569,1762912.152,1654317.211,3110419.629,4310764.068,5596099.594,12.5,3.25,28.6,4.553437,0.001157088,Up
Q6IME9,"Keratin, type II cytoskeletal 72 OS",Krt72,1,1.1.1.1.1.1,1,821254.1683,669467.3976,722527.9445,172068.7393,281198.8303,40051.40774,416141.2699,531219.4176,594887.545,10.4,73.4,17.6,4.486447,0.09224455,
Q8R313,Exocyst complex component 6 OS,Exoc6,4,4.4.3.3.3.4,4,422624.5503,594201.142,581982.1362,134052.604,88667.5475,138720.8673,562262.812,388359.115,355928.9361,18,22.9,25.5,4.423427,0.001553459,Up
Q9EP71,Ankycorbin OS,Rai14,2,2.2.2.2.2.2,2,298678.9386,338534.5963,445035.8291,99759.51496,51509.97397,108086.6207,205881.4902,225776.1915,165594.4169,21,35.3,15.4,4.172832,0.01194822,Up
Q3U6K5,Spermatogenesis-associated protein 6 OS,Spata6,1,1.1.1.1.1.1,1,24856.15025,31955.04836,22288.55564,5210.938672,4175.516132,9575.402451,20269.25612,18210.68465,13566.57817,19,45.3,19.8,4.171519,0.01542008,Up
O88492,Perilipin-4 OS,Plin4,9,9.9.9.8.6.8,9,3294734.677,5040707.851,5080673.615,1147857.036,1111661.408,1015630.085,2184345.554,2613831.999,2776119.094,22.8,6.26,12.1,4.096338,0.007347641,Up
P58802,TBC1 domain family member 10A OS,Tbc1d10a,8,8.7.8.7.6.8,8,1412923.515,1394229.599,1924811.026,403365.3085,326717.8315,490474.8351,1227153.112,1103920.047,1175724.992,19.1,20.1,5.3,3.876886,0.001053028,Up
Q9ES46,Beta-parvin OS,Parvb,6,5.6.4.4.2.3,6,5437322.357,10256959.94,4866753.006,1988331.193,2002195.21,1363398.612,2353766.095,3419881.444,3983050.658,43.2,20.4,25.4,3.840367,0.01486308,Up
Q3UUQ7,GPI inositol-deacylase OS,Pgap1,5,5.5.5.5.5.5,5,4504408.707,3853179.904,3408481.287,996790.6791,975666.1397,1107822.392,1929321.173,2072780.44,1990554.339,14.1,6.91,3.6,3.819806,0.000793319,Up
Q8VE62,Polyadenylate-binding protein-interacting protein 1 OS,Paip1,1,1.1.1.-.-.1,1,34816.80664,58777.75604,96336.25465,1180.044142,2338.790159,46657.79488,52822.23812,37337.22309,30818.57756,49,155,28,3.785245,0.155804,
Q9DC07,LIM zinc-binding domain-containing Nebulette OS,Nebl,25,25.25.23.21.20.21,22,51416759.14,63355801.38,57770802.08,14389092.76,15784507.98,15553910.21,37294435.2,37891125.07,35135619.11,10.4,4.91,3.94,3.773294,0.000377089,Up
Q9EQS9,Immunoglobulin superfamily DCC subclass member 4 OS,Igdcc4,5,5.5.5.5.4.4,5,958888.6219,901970.3634,941740.0766,271994.8076,211611.4937,259241.8683,548756.6869,571388.405,522114.2285,3.13,12.9,4.51,3.772775,0.002172396,Up
Q91YD9,Actin nucleation-promoting factor WASL OS,Wasl,15,14.11.14.12.8.12,15,10193707.21,6964053.933,7884957.911,2139796.064,2097687.083,2405488.661,5235631.147,4950926.569,4673929.815,19.9,7.54,5.67,3.769807,0.003176803,Up
Q3TY60,Protein FAM131B OS,Fam131b,3,3.3.3.3.3.2,3,691490.5362,1133005.369,989683.3075,164614.6779,259784.1671,322211.6266,629769.182,619306.9754,637982.8481,24,31.9,1.49,3.769274,0.006929288,Up
Q6PEV3,WAS/WASL-interacting protein family member 2 OS,Wipf2,19,19.18.18.14.16.14,19,9592963.146,10382918.31,10040225.27,2581599.426,2689475.522,2697693.154,6144250.885,5933862.006,5804400.279,3.96,2.44,2.88,3.766719,6.89E-06,Up
Q62417,Sorbin and SH3 domain-containing protein 1 OS,Sorbs1,55,53.54.52.47.49.50,54,191424718.9,245142758.4,195031948.8,55815135.9,57149035.85,55121976.33,126645885.9,119356277.2,120982530.8,14.3,1.84,3.13,3.757594,0.003168387,Up
P0DP26,Calmodulin-1 OS,Calm1,1,-.1.1.-.-.-,1,7241.034589,3214.171636,24772.68563,2866.340811,2056.594732,4491.523801,22284.92827,2217.394597,2503.864357,97.6,39.5,128,3.741892,0.2193022,
O88413,Tubby-related protein 3 OS,Tulp3,1,1.1.-.1.-.-,1,21782.03757,24621.68693,25792.39163,13601.89374,4727.828477,968.0546034,21124.56234,33521.86945,44035.96204,8.57,101,34.9,3.741162,0.1430445,
Q60829,Protein phosphatase 1 regulatory subunit 1B OS,Ppp1r1b,1,1.1.1.-.1.-,1,163512.2285,78629.95753,129821.8637,6543.573762,90891.15398,3784.618436,135583.6267,152810.5058,133937.6394,34.5,147,7.43,3.674832,0.1483141,
Q8BYK5,Phosphatase and actin regulator 3 OS,Phactr3,7,7.6.7.6.6.7,7,1505745.209,1932962.842,1987266.005,356792.5319,644406.6231,482259.0106,1260499.045,1255166.051,1140368.635,14.6,29.2,5.57,3.657652,0.006354695,Up
Q925B0,PRKC apoptosis WT1 regulator protein OS,Pawr,1,1.1.1.1.1.1,1,27586.99381,20834.7993,16000.26268,6229.370391,3267.731382,8210.02384,20422.2811,25534.08139,26492.90899,27.1,42.1,13.5,3.6382,0.02114226,Up
Q91Y02,Protocadherin beta-18 OS,Pcdhb18,1,1.1.1.1.-.-,1,18279.6195,38752.60524,46876.92569,22978.96939,1674.858165,3959.348904,37688.30279,30911.97572,29678.24068,42.5,123,13.2,3.631514,0.1330113,
Q9D4V7,Rab-like protein 3 OS,Rabl3,1,1.1.1.-.1.-,1,47887.22598,42966.6411,22901.6103,1003.539856,25646.3566,5034.518235,34472.21445,22112.75761,22359.41775,34.9,125,26.9,3.590266,0.1642857,
Q8BL65,Actin-binding LIM protein 2 OS,Ablim2,14,13.14.13.9.12.13,14,8906423.65,10959700.34,7797501.124,2959289.121,2293244.089,2514243.251,5834852.358,5470119.147,5436637.294,17.4,13.1,3.96,3.56179,0.00074886,Up
Q60519,Semaphorin-5B OS,Sema5b,2,2.2.2.2.2.2,2,161587.2716,224552.5079,199199.2685,62275.31824,36760.37366,65856.98837,115912.0612,62877.97181,135836.6721,16.2,28.9,36,3.549818,0.008577552,Up
P35492,Histidine ammonia-lyase OS,Hal,1,1.1.1.1.1.1,1,13792.10185,20378.27401,37538.90623,5173.624701,8994.232589,6051.717505,19335.13672,24746.15507,20803.84029,51.3,29.7,12.9,3.546528,0.03356344,Up
Q07417,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS",Acads,2,2.2.2.2.2.2,2,405315.502,456068.0194,237251.5101,109226.5408,97824.839,103756.4578,486863.1357,414715.1819,393116.407,31.3,5.5,11.4,3.534773,0.02355464,Up
Q9JJ28,Protein flightless-1 homolog OS,Flii,6,6.6.6.5.6.5,6,1553189.066,1679561.325,497782.2297,346898.2222,377086.3342,359634.5873,1122111.39,429784.6786,651726.0121,52.2,4.2,48.1,3.44266,0.1059226,
Q149C2,TRAF3-interacting protein 1 OS,Traf3ip1,2,2.2.2.2.2.2,2,2101338.825,4103028.63,2009049.688,442829.3668,1525134.443,467934.0685,1642855.993,1376131.806,1305281.491,43.2,76.1,12.3,3.371823,0.0595849,
Q1W617,Protein Shroom4 OS,Shroom4,2,2.2.2.1.2.1,2,93751.70141,90714.24233,92020.23366,11478.15223,59994.89001,10743.96341,52679.87633,54254.57614,43818.59515,1.65,103,11.2,3.362883,0.1098721,
Q9Z218,Dipeptidyl aminopeptidase-like protein 6 OS,Dpp6,1,1.1.-.1.1.1,1,53610.72287,87916.60206,67562.14854,17570.91032,28403.04632,16270.47501,29927.62392,27203.63608,35092.27046,24.8,32.1,13,3.359168,0.006231543,Up
Q5SW75,Protein phosphatase Slingshot homolog 2 OS,Ssh2,1,1.1.1.1.1.1,1,44382.97544,125106.5744,35801.89523,19656.46124,25625.92456,16047.19662,983616.812,11697.62943,30335.05825,72,23.7,163,3.347348,0.0969045,
Q9WVA4,Transgelin-2 OS,Tagln2,2,2.2.2.1.1.1,2,131266.67,149545.2005,205704.8305,30522.15841,53807.24855,61236.98002,66564.82554,104382.1333,82512.35465,23.9,33,22.5,3.342232,0.01261359,Up
Q9Z331,"Keratin, type II cytoskeletal 6B OS",Krt6b,2,2.1.2.1.2.2,1,168278.5904,352435.7714,447332.3327,79162.39509,138234.6206,74005.16896,278451.5675,330175.0879,316523.2318,44,36.7,8.69,3.32203,0.03710629,Up
A2ALK8,Tyrosine-protein phosphatase non-receptor type 3 OS,Ptpn3,1,1.-.1.1.1.1,1,34580.47022,56007.55636,55786.82768,13280.40947,11801.03854,19528.27468,34485.13176,31094.63876,26638.34092,25.2,27.6,12.8,3.281232,0.005810361,Up
Q01705,Neurogenic locus notch homolog protein 1 OS,Notch1,5,5.5.4.3.3.3,5,3358650.229,2907674.335,3039749.641,962623.7232,1039506.521,876774.398,2127117.47,1533547.899,1718780.743,7.47,8.48,16.9,3.232505,6.44E-05,Up
Q8JZW5,SH2 domain-containing protein 5 OS,Sh2d5,2,2.1.2.1.1.1,2,495428.4808,487203.5272,551337.2141,210914.1286,174542.7446,90892.08796,194074.4334,163071.9358,113655.6958,6.82,38.8,25.8,3.220264,0.03788863,Up
Q3U5C8,Rho guanine nucleotide exchange factor 16 OS,Arhgef16,7,7.7.5.5.5.5,7,2271698.422,2758025.789,2388918.056,938070.6678,739334.6576,636258.4315,1217565.34,1415915.316,1384735.527,10.3,19.9,7.96,3.206448,0.002721032,Up
P58058,NAD kinase OS,Nadk,1,1.1.1.-.-.1,1,68048.48316,80267.52472,98815.13807,1523.475794,3703.861504,72175.78668,80680.95421,82520.00961,91328.07238,18.8,156,6.71,3.19278,0.1752824,
Q8CE08,Prostatic acid phosphatase OS,Acp3,1,-.-.1.-.-.-,1,1645.436819,1544.510558,38053.07589,2082.262032,5834.650626,5007.592175,7927.961852,7980.333967,5764.82244,153,45.8,17.5,3.191072,0.8998613,
Q3UMF0,Cordon-bleu protein-like 1 OS,Cobll1,19,19.18.19.15.15.16,19,4904626.236,4441870.93,4414387.664,1452554.008,1299135.428,1652387.122,3274866.288,3273980.057,3336965.913,6.01,12.1,1.1,3.124579,0.000791317,Up
Q8BIV7,Proton-associated sugar transporter A OS,Slc45a1,1,-.1.1.-.1.-,1,10555.43095,10435.2057,8834.826031,1641.793539,6273.937053,1674.811419,3899.633424,4772.93285,6838.347998,9.66,83.4,29.2,3.109883,0.09144914,
Q9DAW9,Calponin-3 OS,Cnn3,28,27.28.27.22.26.22,28,42150690.6,57433733.49,47141637.58,15070713.02,14905873.3,17751911.17,29613707.93,28824251.68,28392241.15,15.9,10,2.14,3.074181,0.001115473,Up
Q8VED5,"Keratin, type II cytoskeletal 79 OS",Krt79,1,1.1.1.1.1.1,1,176250.5625,84773.88633,71368.03484,38383.93028,54357.69468,16966.41788,75588.91595,96468.41443,57320.52065,51.5,51.3,25.6,3.029791,0.06516395,
O89114,DnaJ homolog subfamily B member 5 OS,Dnajb5,2,2.2.1.1.1.1,2,96795.70521,62863.24971,75563.26608,25981.76612,34220.14256,17496.15741,25021.42378,21700.65442,25718.13939,21.9,32.3,8.89,3.027388,0.01214171,Up
Q91VI7,Ribonuclease inhibitor OS,Rnh1,12,12.12.10.8.9.9,12,5776846.71,6431183.502,7250970.981,1633174.734,1949329.73,2867470.356,4802526.461,4814891.334,4613344.64,11.4,29.8,2.38,3.016911,0.0120209,Up
Q8VEJ1,GPN-loop GTPase 2 OS,Gpn2,1,1.1.1.1.1.1,1,8654.93277,10809.64656,7627.711187,3280.096273,2732.781466,2985.102613,4911.540541,5397.489398,5184.110817,18,9.13,4.72,3.01093,0.002448151,Up
P70271,PDZ and LIM domain protein 4 OS,Pdlim4,17,17.16.15.15.15.15,17,10862288.69,14441703.81,14219007.22,4296079.983,4612912.767,4253793.058,8847548.852,8657239.479,8437307.962,15.2,4.47,2.37,3.002632,0.004493839,Up
Q8BV79,TPR and ankyrin repeat-containing protein 1 OS,Trank1,1,1.1.1.1.1.1,1,15568.80107,29317.29477,14040.21675,6636.458158,5941.147363,7320.934346,11890.42026,13184.68789,11748.91855,42.8,10.4,6.45,2.961339,0.03883603,Up
Q5DTV4,Probable ribonuclease ZC3H12C OS,Zc3h12c,2,2.2.2.2.2.2,2,2142804.185,3593131.839,2839411.463,780332.4038,952230.7666,1231335.711,664653.1225,1806405.489,1001892.708,25.4,23,50.7,2.893266,0.006324757,Up
Q9D708,Protein S100-A16 OS,S100a16,1,1.1.1.-.-.1,1,8322.039864,9237.330522,12832.83644,2717.779973,1282.745984,6674.334692,10162.07899,9179.069649,11267.88152,23.5,78.5,10.2,2.847082,0.1112349,
Q9QZN4,F-box only protein 6 OS,Fbxo6,2,2.2.2.-.1.1,2,82874.36659,88260.26179,91873.63002,8605.175974,58158.63554,26041.09995,45359.76327,35434.98084,29008.24495,5.17,81.3,22.5,2.833991,0.1406096,
Q8BYR2,Serine/threonine-protein kinase LATS1 OS,Lats1,3,3.3.3.3.3.3,3,216113.1265,282092.5769,268870.0423,79069.05509,105140.3019,87728.96139,161811.3747,179767.6738,165384.3715,13.7,14.6,5.62,2.820771,0.000890112,Up
A2AGL3,Ryanodine receptor 3 OS,Ryr3,2,2.2.2.2.2.2,2,374758.3718,489179.6621,424873.2044,140324.6763,179030.8256,138260.6902,207257.65,282531.1356,239281.8182,13.4,15.1,15.5,2.816358,0.000831542,Up
Q6PE01,U5 small nuclear ribonucleoprotein 40 kDa protein OS,Snrnp40,1,1.1.1.1.1.1,1,360696.9919,1158190.962,985053.3832,253355.1257,334305.0833,305790.8462,277123.8267,325151.3252,245809.315,50.3,13.8,14.1,2.80255,0.1211989,
P60853,Leucine zipper putative tumor suppressor 1 OS,Lzts1,1,1.1.1.-.1.-,1,21843.23626,19946.79687,20307.45256,2574.014444,18217.00525,1411.447227,15138.74356,12660.51275,13112.07315,4.87,127,9.68,2.796873,0.1687577,
P70193,Leucine-rich repeats and immunoglobulin-like domains protein 1 OS,Lrig1,26,26.24.25.13.15.17,26,18335594.22,22567497.76,21283236.4,7792954.869,5604135.843,8872941.283,13505999.52,13473540.78,14567742.16,10.5,22.4,4.5,2.792377,0.007786717,Up
O54988,STE20-like serine/threonine-protein kinase OS,Slk,9,9.7.7.7.8.7,8,2650856.587,2516085.175,2235387.278,928596.0272,702145.5793,1047619.224,1160054.519,1379851.927,1408091.376,8.59,19.7,10.3,2.763753,0.005941518,Up
Q8BSK8,Ribosomal protein S6 kinase beta-1 OS,Rps6kb1,1,1.1.1.1.1.1,1,141835.0298,243077.6973,187623.8064,38299.52591,130178.4428,40151.51328,94060.05862,84580.18273,103932.8412,26.6,75.5,10.3,2.744274,0.08661971,
A2A7S8,Uncharacterized protein KIAA1522 OS,Kiaa1522,3,3.3.2.1.2.2,3,179432.1669,126558.3457,197894.4175,59997.80003,61220.43451,63197.58381,25888.61087,77659.84113,28029.58404,22,2.63,66.8,2.73233,0.01736596,Up
Q91YE8,Synaptopodin-2 OS,Synpo2,9,9.9.9.9.8.9,9,3061123.356,3777501.259,4112311.229,1189484.065,1523979.971,1298109.267,2097749.615,2199435.6,2336249.254,14.7,12.8,5.41,2.729836,0.001074792,Up
P21460,Cystatin-C OS,Cst3,2,2.2.2.2.2.2,2,3164002.531,4543416.649,3350839.583,846995.3363,1789971.919,1433997.4,1603670.259,1970355.506,1776365.905,20.3,35.1,10.3,2.716373,0.02603263,Up
Q8BQ30,Phostensin OS,Ppp1r18,3,1.3.3.2.2.1,3,1161088.381,1133834.32,1093881.375,512526.2576,390889.167,350197.6473,757867.3758,648788.5769,855692.4339,2.99,20.2,13.7,2.70323,0.01098422,Up
P51642,Ciliary neurotrophic factor OS,Cntf,1,1.1.1.1.1.1,1,8467.414246,10098.93329,13434.3048,3385.115093,6214.220451,2291.421344,7394.576619,5495.368432,6556.412269,23.7,51.1,14.7,2.691221,0.0498505,Up
P10649,Glutathione S-transferase Mu 1 OS,Gstm1,39,37.38.38.34.38.35,38,355832845.9,440754363.3,439010223.8,146700747.8,168915402,145020150.4,256095918.8,238461777.8,241416400.7,11.8,8.69,3.85,2.682371,0.000617724,Up
P10107,Annexin A1 OS,Anxa1,1,1.1.-.-.-.-,1,6804.245129,9066.617182,9143.80904,6493.610028,1459.487377,1449.220956,5259.733173,1865.287861,1223.098484,15.9,92.8,77.9,2.660479,0.1262402,
